name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10001-12701,133.371090612,57.5984251446,2.419,0.191,0.26,3.06801E9,9.486856770836832,0.335333,0.741845,7.8809476,8.57929134368896,-0.686187386512756,0.279712416095356,-0.0895131693945173,0.787102964826334,16.38244
manga-10001-12702,133.685669869,57.4802503218,2.882,0.094,0.01,5.34165E9,9.727675428416093,0.508217,1.44272,14.147447,8.6074333190918,-0.534189701080322,0.0640817945148918,-0.608526199959836,0.788092916654165,16.68502
manga-10001-12703,136.017159969,57.0923291779,3.249,0.135,0.43,1.36935E10,10.13651446613351,0.205749,2.18084,13.00185,8.75312232971191,-0.397718131542206,0.226685290922744,0.100402942083708,0.503864975677147,15.69032
manga-10001-12704,133.989966869,57.6779676669,3.38,0.212,0.85,4.28664E9,9.632117012183734,0.15,0.869326,28.682878,8.74954032897949,-0.556039690971375,-0.34123181788338,-0.465113695140934,0.519440373402131,14.68778
manga-10001-12705,136.75137451,57.4514369241,2.883,0.152,0.15,1.29873E10,10.113518872629513,0.471451,1.25046,11.03955,8.57137012481689,-0.6755051612854,0.467783137334446,0.482522582767926,0.76957785655602,15.71422
manga-10001-1901,133.330028009,57.0411553708,2.709,0.14,0.18,1.34016E9,9.127156651326711,0.333464,0.715437,4.862905,9.07668018341064,-0.24589766561985,-0.837143974835697,-0.892168989826935,0.445613373257581,17.20055
manga-10001-1902,134.193923352,56.7867469988,3.964,0.1,-0.01,1.45348E10,10.16240906022107,0.733502,4.9523,12.340964,9.76695823669434,-0.0746707022190094,-1.85093747681917,-2.70747732415461,0.139486692757703,14.83536
manga-10001-3701,132.465646765,57.1437279024,2.853,0.05,0.27,6.86554E9,9.836674701776284,0.671381,5.9563,4.5231752,9.18025207519531,-0.439283043146133,-1.13971376934908,-3.21268864277943,0.143075567546722,16.67925
manga-10001-3702,132.912768243,57.1074235568,4.31,0.112,0.26,6.85918E9,9.836272199852367,0.896258,6.0,13.070651,9.34565734863281,-0.153150364756584,-0.168928503660842,-0.0564333213015351,0.15417034514045,15.31955
manga-10001-3703,134.591498946,57.6849653262,2.953,0.066,0.17,3.74664E9,9.573641965438451,0.378285,1.86687,5.5400043,8.62394332885742,-0.562881350517273,0.00367692985407824,-0.174646614295289,0.701726508515286,16.7082
manga-10001-3704,134.910466734,56.8788941639,3.729,0.039,0.19,2.17985E10,10.338426609928648,0.897508,4.60186,12.411791,9.44289207458496,-0.134651124477386,-1.01304557180025,-1.02358030972973,0.141544393345523,14.65548
manga-10001-6101,137.041133755,57.4236117812,3.548,-0.014,0.06,7.89797E10,10.89751547976021,0.772406,6.0,11.455018,9.56249904632568,-0.165271908044815,-0.194376595161263,-1.22812082867595,0.107234545113273,16.16057
manga-10001-6102,132.653991697,57.3596675436,3.558,0.13,0.24,2.25883E10,10.35388354706021,0.477778,2.35371,14.403017,9.13824558258057,-0.22053387761116,0.126912956390758,0.214053160464198,0.432220893855946,14.24108
manga-10001-6103,134.008123053,57.3909643699,4.308,0.102,0.02,4.0896E10,10.611680832142287,0.793998,5.76654,16.61832,9.70256423950195,-0.0736302956938744,-1.09384955221138,-1.94137614929271,0.186617014542198,14.77995
manga-10001-6104,136.623724313,56.7963948252,4.02,0.095,0.18,1.29253E11,11.111440631985133,0.484842,6.0,18.00454,9.67225074768066,-0.131119430065155,-0.478465646577258,-0.623870393906205,0.0716546583112484,14.66671
manga-10001-9101,133.87809679,57.5645448676,2.901,0.274,0.34,2.37395E9,9.3754715676292,0.571682,1.98564,10.472028,8.53239345550537,-0.542061448097229,0.325803439578351,0.0444428581081434,0.435743355263025,16.36463
manga-10001-9102,135.818210094,56.6253848319,3.929,0.115,0.05,7.15415E10,10.854558041696281,0.75054,4.40078,13.916864,9.52286529541016,-0.177541062235832,-0.376025925312466,-1.10210564041006,0.349462867085629,15.65395
manga-10213-12701,124.129949071,43.7284583177,3.72,0.255,0.3,1.32481E11,11.122153597617457,0.688249,6.0,18.322678,9.54153442382812,-0.0369162000715733,-0.76977687680971,-1.14963131832031,0.103990925523823,16.66868
manga-10213-12702,124.272776248,43.3509915523,2.425,0.123,0.0,2.05035E9,9.311828002565155,0.388388,0.944227,13.08414,8.56742286682129,-0.601740062236786,0.153356234976618,-0.4861098731462,0.324632734185185,16.86914
manga-10213-12703,123.132893944,44.3009344657,3.468,0.143,0.81,3.4496E9,9.537768739170627,0.15,0.783485,18.912167,8.66767597198486,-0.438105076551437,-0.0352975364387895,-0.718711546676456,0.6241600933755,17.0816
manga-10213-12704,124.485516908,42.8806679257,4.711,0.46,0.49,1.30926E11,11.117025899685025,0.809905,6.0,28.621683,9.27369117736816,-0.359379976987839,-0.418972387008111,-1.2383580212078,0.194654353991313,15.47048
manga-10213-12705,122.931168093,41.5549778649,3.423,0.271,0.34,2.36684E10,10.374168900317871,0.588687,2.52368,22.765715,8.84388160705566,-0.326010406017303,0.0894195038156061,0.173575139280529,0.298948607145555,14.50926
manga-10213-1901,124.082783686,43.4476368387,4.494,0.123,0.04,2.18748E10,10.339944090983794,0.955719,6.0,17.496666,9.64929962158203,-0.0123508367687464,-1.38166935492945,-1.55898543994841,0.0752132671585829,14.50683
manga-10213-1902,123.453117209,41.6494790245,3.247,0.239,0.21,4.19799E10,10.623041399718037,0.658404,2.08495,18.10787,8.76792430877686,-0.386764049530029,0.649155753977712,0.637224387160019,0.442248852104474,14.49613
manga-10213-3701,122.867048301,43.6383451379,3.754,0.124,0.23,1.87946E11,11.274033087185169,0.93595,6.0,14.602609,9.44118881225586,-0.0806100815534592,0.36896080161783,0.836069901845783,0.247556664568479,16.29207
